race,frame_number,horse_number,horse_name,sex,age,basis_weight,jocky,jocky2,odds,popularity,,
6,1,1,フロースヒルデ,牝,2,54,宮崎,蛯名,34.4,10, , 
6,2,2,レッドレグナント,牝,2,54,丸田,大竹,6.2,1, , 
6,3,3,トーセンアンバー,牝,2,54,横山典,菊沢,3,3, , 
6,4,4,トリニティハート,牝,2,54,丸山,和田道,8.9,5, , 
6,5,5,ホーリーレジェンド,牝,2,54,内田博,栗田博,2.9,2, , 
6,5,6,ランリーナ,牝,2,54,吉田豊,竹内,9.6,6, , 
6,6,7,ラヴァーズインメイ,牝,2,54,柴田大,青木,20,7, , 
6,6,8,スマイルサンティエ,牝,2,54,柴山,黒岩,24.1,8, , 
6,7,9,ホシノコ,牝,2,54,西村,的場,0,11, , 
6,7,10,サラート,牝,2,54,岩部,萱野,0,12, , 
6,8,11,リープフラウミルヒ,牝,2,54,石川,相沢,7.3,4, , 
6,8,12,クレマン,牝,2,54,杉原,佐藤吉,2.2,9, , 
7,1,1,サンマルバロン,セ,5,57,小島,小島太,51.8,11, , 
7,1,2,キタサンガンバ,牡,4,57,吉田隼,小笠,20.1,7, , 
7,2,3,パイロスター,セ,5,57,田中勝,金成,92.4,13, , 
7,2,4,セイウンチャーム,牝,3,49,武藤,手塚,8.4,3, , 
7,3,5,シュンクルーズ,牡,5,57,松岡,柄崎,99.6,14, , 
7,3,6,ストロボフラッシュ,牝,4,55,川田,加藤征,4.4,2, , 
7,4,7,オーシャンビュー,牡,4,57,嘉藤,伊藤伸,32.3,8, , 
7,4,8,トキノシップー,セ,4,57,平野,竹内,181.5,15, , 
7,5,9,エタニティーワルツ,牡,4,57,西田,大和田,47.2,10, , 
7,5,10,ララパルーザ,牡,4,57,柴山,岩戸,11.5,4, , 
7,6,11,エニグマ,牡,3,54,吉田豊,高橋文,16.5,6, , 
7,6,12,ツインプラネット,セ,7,54,野中,中川,32.4,9, , 
7,7,13,ビレッジエンパイア,牡,4,57,北村宏,土田,226.3,16, , 
7,7,14,ハシカミ,牡,4,57,内田博,小桧山,12.9,5, , 
7,8,15,ポンテファブリチオ,牡,4,56,木幡初,鹿戸,72.2,12, , 
7,8,16,ブランエクラ,牡,3,54,Ｍデムーロ,武井,2,1, , 
8,1,1,スカーレットデビル,牡,5,57,丸田,金成,25.9,8, , 
8,2,2,アイスコールド,牝,4,55,松岡,手塚,7.4,4, , 
8,3,3,マイネルエパティカ,牡,3,54,柴田大,和田雄,26,9, , 
8,4,4,マヤノピナクル,牡,4,57,木幡広,牧,20.1,7, , 
8,5,5,アメリカンヘブン,セ,4,57,浜中,戸田,8.2,5, , 
8,6,6,シングンアルテミス,牝,4,55,武士沢,高市,35.2,10, , 
8,6,7,ローズクランス,牡,4,57,津村,手塚,3.9,2, , 
8,7,8,シンボリタピット,牡,5,56,木幡巧,久保田,6,3, , 
8,7,9,ジェードグリーン,牡,3,54,石橋脩,栗田徹,3.4,1, , 
8,8,10,レッドアルカナ,牝,4,55,杉原,国枝,9.1,6, , 
8,8,11,メルドオール,牡,5,57,黛,高橋祥,47.3,11, , 
9,1,1,レザンドゥオール,牡,5,57,武藤,武藤,53.3,12, , 
9,1,2,ウェイトアンドシー,セ,6,57,吉田隼,新開,64.8,15, , 
9,2,3,ダウトレス,セ,6,57,江田照,小島太,29.5,8, , 
9,2,4,ワンボーイ,牡,5,57,田中勝,新開,38,9, , 
9,3,5,メイショウグジョウ,牡,3,54,柴田善,浅見,44.3,10, , 
9,3,6,リスペクトアース,牡,4,57,横山典,小笠,9,5, , 
9,4,7,ダノンフェイス,牡,4,57,浜中,大久保,8.2,3, , 
9,4,8,タケルラグーン,牡,5,57,田辺,池上弘,18.7,6, , 
9,5,9,インフェルノ,セ,5,57,池添,池添兼,2.1,1, , 
9,5,10,ダブルコーク,牡,6,57,蛯名,鹿戸,56.6,14, , 
9,6,11,ポムフィリア,牝,5,55,大野,高橋裕,53.1,11, , 
9,6,12,チュラカーギー,牝,4,55,戸崎圭,中舘,5.9,2, , 
9,7,13,オホーツク,牡,5,57,内田博,手塚,8.8,4, , 
9,7,14,エメラルエナジー,牡,5,57,吉田豊,相沢,151.5,16, , 
9,8,15,ポッドガイ,牡,4,57,柴山,武市,54.7,13, , 
9,8,16,フクノグリュック,牡,5,57,松岡,杉浦,27.2,7, , 
10,1,1,ストーンウェア,牡,5,56,浜中,吉田,15.7,5, , 
10,2,2,セイクレットレーヴ,牡,8,53,松岡,田中清,65.4,11, , 
10,3,3,ハクサンルドルフ,牡,4,57.5,戸崎圭,西園,6.6,3, , 
10,4,4,メイショウメイゲツ,牝,5,51,木幡巧,小島太,42.4,9, , 
10,5,5,デルカイザー,セ,6,56,大野,藤沢和,15.9,6, , 
10,6,6,テルメディカラカラ,牝,5,54,柴田善,石橋,16.8,7, , 
10,6,7,マコトサダイジン,セ,6,54,蛯名,松田,20.2,8, , 
10,7,8,マリオーロ,牡,5,55,田辺,斎藤誠,11.6,4, , 
10,7,9,ブレイクザポケット,牡,5,54,石川,萩原,51.7,10, , 
10,8,10,メートルダール,牡,4,58,Ｍデムーロ,戸田,3.1,2, , 
10,8,11,キロハナ,牡,5,55,川田,池江,2.4,1, , 
11,1,1,マイネルミラノ,牡,7,58,丹内,相沢,21.1,8, , 
11,1,2,フルーキー,牡,7,58,北村宏,角居,22.6,9, , 
11,2,3,バーディーイーグル,牡,7,56,吉田豊,国枝,131.4,16, , 
11,2,4,ヒストリカル,牡,8,57,横山典,音無,13.5,7, , 
11,3,5,カムフィー,牡,8,56,吉田隼,池上和,248.8,18, , 
11,3,6,デンコウアンジュ,牝,4,54,蛯名,荒川,8.6,3, , 
11,4,7,マイネルハニー,牡,4,56,柴田大,栗田博,13.2,6, , 
11,4,8,トーセンレーヴ,牡,9,57,石川,池江,139.3,17, , 
11,5,9,クラリティスカイ,牡,5,56,田辺,斎藤誠,10,4, , 
11,5,10,アストラエンブレム,牡,4,56,Ｍデムーロ,小島茂,2.5,1, , 
11,6,11,ベルーフ,牡,5,56,大野,池江,27.4,10, , 
11,6,12,ダッシングブレイズ,牡,5,56,浜中,吉村,10.6,5, , 
11,7,13,クラリティシチー,牡,6,56,川田,上原,32.3,12, , 
11,7,14,タイセイサミット,牡,4,56,戸崎圭,矢作,7.7,2, , 
11,7,15,パドルウィール,牡,6,56,池添,中尾,37.5,13, , 
11,8,16,メドウラーク,牡,6,56,石橋脩,橋田,110.4,15, , 
11,8,17,レッドレイヴン,牡,7,56,内田博,藤沢和,39.2,14, , 
11,8,18,ナスノセイカン,牡,5,56,丸山,矢野,30.9,11, , 
12,1,1,エディクト,牡,4,57,大野,二ノ宮,18.7,6, , 
12,1,2,ヴォルタ,牡,3,54,松岡,奥村武,35.8,10, , 
12,2,3,オヒアレフア,牝,4,55,村田,粕谷,44.9,12, , 
12,2,4,ブレスアロット,牡,4,57,吉田隼,高柳瑞,7.1,2, , 
12,3,5,プレツィオーゼ,セ,5,54,菊沢,武藤,179.3,16, , 
12,3,6,ペイシャボム,牡,3,54,江田照,本間,14.4,4, , 
12,4,7,ファンヴィー,牡,3,53,木幡巧,黒岩,98.8,15, , 
12,4,8,ガラドリエル,牝,5,55,石橋脩,大和田,39.8,11, , 
12,5,9,スフェーン,牡,4,57,丸山,小西,17.7,5, , 
12,5,10,ポントス,牡,5,57,西田,蛯名,19,7, , 
12,6,11,ワイルドゲーム,牡,4,57,柴田善,石栗,20.6,8, , 
12,6,12,サノマル,牡,4,54,武藤,中舘,46.4,13, , 
12,7,13,ミュークロール,牝,5,55,黛,青木,48.2,14, , 
12,7,14,ワイルドグラス,牡,3,54,的場,的場,26.8,9, , 
12,8,15,トレンドライン,牡,3,54,戸崎圭,金成,1.7,1, , 
12,8,16,プレゼンス,牡,3,54,吉田豊,尾形充,12.2,3, , 
